tau,t,y,v
0.05,11.05,0.0343135,0.758109
0.05,11.1,0.0720389,0.754507
0.05,11.15,0.10949,0.749032
0.05,11.2,0.146576,0.741703
0.05,11.25,0.183203,0.732543
0.05,11.3,0.219282,0.721579
0.05,11.35,0.254724,0.708843
0.05,11.4,0.289442,0.694371
0.05,11.45,0.323353,0.678203
0.05,11.5,0.356372,0.660385
0.05,11.55,0.38842,0.640964
0.05,11.6,0.41942,0.619993
0.05,11.65,0.449296,0.597528
0.05,11.7,0.477978,0.573629
0.05,11.75,0.505395,0.548359
0.05,11.8,0.531485,0.521785
0.05,11.85,0.556184,0.493976
0.05,11.9,0.579434,0.465004
0.05,11.95,0.601181,0.434945
0.05,12,0.621375,0.403876
0.05,12.05,0.639969,0.371878
0.05,12.1,0.65692,0.339032
0.05,12.15,0.672191,0.305422
0.05,12.2,0.685748,0.271135
0.05,12.25,0.697561,0.236257
0.05,12.3,0.707605,0.200877
0.05,12.35,0.715859,0.165084
0.05,12.4,0.722307,0.128968
0.05,12.45,0.726938,0.0926214
0.05,12.5,0.729745,0.0561341
0.05,12.55,0.730725,0.0195978
0.05,12.6,0.72988,-0.0168962
0.05,12.65,0.727217,-0.053257
0.05,12.7,0.722748,-0.0893944
0.05,12.75,0.716487,-0.125219
0.05,12.8,0.708455,-0.160642
0.05,12.85,0.698676,-0.195575
0.05,12.9,0.687179,-0.229934
0.05,12.95,0.673997,-0.263634
0.05,13,0.659168,-0.296593
0.05,13.05,0.642731,-0.328729
0.05,13.1,0.624733,-0.359966
0.05,13.15,0.605222,-0.390227
0.05,13.2,0.58425,-0.419439
0.05,13.25,0.561873,-0.447533
0.05,13.3,0.538151,-0.474441
0.05,13.35,0.513146,-0.500098
0.05,13.4,0.486924,-0.524444
0.05,13.45,0.459553,-0.547422
0.05,13.5,0.431104,-0.568977
0.05,13.55,0.401651,-0.589059
0.05,13.6,0.37127,-0.607623
0.05,13.65,0.340039,-0.624625
0.05,13.7,0.308037,-0.640027
0.05,13.75,0.275348,-0.653794
0.05,13.8,0.242053,-0.665897
0.05,13.85,0.208237,-0.676309
0.05,13.9,0.173987,-0.685008
0.05,13.95,0.139388,-0.691977
0.05,14,0.104528,-0.697204
0.05,14.05,0.069494,-0.700679
0.05,14.1,0.0343742,-0.702397
0.05,14.15,-0.000743833,-0.70236
0.05,14.2,-0.0357724,-0.700571
0.05,14.25,-0.0706244,-0.69704
0.05,14.3,-0.105213,-0.69178
0.05,14.35,-0.139454,-0.684807
0.05,14.4,-0.173261,-0.676144
0.05,14.45,-0.206552,-0.665816
0.05,14.5,-0.239244,-0.653854
0.05,14.55,-0.271259,-0.640291
0.05,14.6,-0.302517,-0.625165
0.05,14.65,-0.332943,-0.608518
0.05,14.7,-0.362463,-0.590395
0.05,14.75,-0.391005,-0.570845
0.05,14.8,-0.418501,-0.54992
0.05,14.85,-0.444885,-0.527675
0.05,14.9,-0.470093,-0.504171
0.05,14.95,-0.494067,-0.479467
0.05,15,-0.516748,-0.45363
0.05,15.05,-0.538085,-0.426726
0.05,15.1,-0.558026,-0.398824
0.05,15.15,-0.576526,-0.369998
0.05,15.2,-0.593542,-0.340321
0.05,15.25,-0.609035,-0.309869
0.05,15.3,-0.622971,-0.278721
0.05,15.35,-0.635319,-0.246955
0.05,15.4,-0.646052,-0.214652
0.05,15.45,-0.655146,-0.181895
0.05,15.5,-0.662585,-0.148766
0.05,15.55,-0.668352,-0.115348
0.05,15.6,-0.672438,-0.0817261
0.05,15.65,-0.674838,-0.0479842
0.05,15.7,-0.675548,-0.0142068
0.05,15.75,-0.674572,0.0195217
0.05,15.8,-0.671916,0.0531175
0.05,15.85,-0.667591,0.0864971
0.05,15.9,-0.661612,0.119578
0.05,15.95,-0.653998,0.152278
0.05,16,-0.644772,0.184516
0.05,16.05,-0.633962,0.216214
0.05,16.1,-0.621597,0.247294
0.05,16.15,-0.607713,0.27768
0.05,16.2,-0.592348,0.307297
0.05,16.25,-0.575544,0.336074
0.05,16.3,-0.557347,0.363942
0.05,16.35,-0.537806,0.390832
0.05,16.4,-0.516972,0.416681
0.05,16.45,-0.4949,0.441426
0.05,16.5,-0.47165,0.465008
0.05,16.55,-0.447281,0.487372
0.05,16.6,-0.421858,0.508465
0.05,16.65,-0.395446,0.528238
0.05,16.7,-0.368114,0.546643
0.05,16.75,-0.339932,0.56364
0.05,16.8,-0.310973,0.579188
0.05,16.85,-0.28131,0.593254
0.05,16.9,-0.25102,0.605805
0.05,16.95,-0.220179,0.616814
0.05,17,-0.188866,0.626257
0.05,17.05,-0.15716,0.634115
0.05,17.1,-0.125142,0.640372
0.05,17.15,-0.092891,0.645017
0.05,17.2,-0.0604889,0.648041
0.05,17.25,-0.0280168,0.649442
0.05,17.3,0.00444419,0.64922
0.05,17.35,0.0368132,0.647379
0.05,17.4,0.0690096,0.643929
0.05,17.45,0.100954,0.638881
0.05,17.5,0.132566,0.632253
0.05,17.55,0.16377,0.624064
0.05,17.6,0.194487,0.61434
0.05,17.65,0.224642,0.603108
0.05,17.7,0.254162,0.5904
0.05,17.75,0.282974,0.576251
0.05,17.8,0.311009,0.560701
0.05,17.85,0.338199,0.543791
0.05,17.9,0.364477,0.525567
0.05,17.95,0.389781,0.506078
0.05,18,0.41405,0.485375
0.05,18.05,0.437226,0.463514
0.05,18.1,0.459253,0.440551
0.05,18.15,0.480081,0.416547
0.05,18.2,0.499659,0.391564
0.05,18.25,0.517942,0.365667
0.05,18.3,0.534888,0.338923
0.05,18.35,0.550458,0.3114
0.05,18.4,0.564617,0.283169
0.05,18.45,0.577332,0.254302
0.05,18.5,0.588576,0.224874
0.05,18.55,0.598323,0.194957
0.05,18.6,0.606555,0.16463
0.05,18.65,0.613253,0.133967
0.05,18.7,0.618406,0.103047
0.05,18.75,0.622003,0.0719466
0.05,18.8,0.62404,0.0407446
0.05,18.85,0.624516,0.00951882
0.05,18.9,0.623434,-0.0216529
0.05,18.95,0.620799,-0.0526928
0.05,19,0.616623,-0.0835239
0.05,19.05,0.610919,-0.11407
0.05,19.1,0.603706,-0.144255
0.05,19.15,0.595006,-0.174006
0.05,19.2,0.584844,-0.203248
0.05,19.25,0.573248,-0.23191
0.05,19.3,0.560252,-0.259923
0.05,19.35,0.545891,-0.287217
0.05,19.4,0.530205,-0.313728
0.05,19.45,0.513235,-0.339389
0.05,19.5,0.495028,-0.364141
0.05,19.55,0.475632,-0.387922
0.05,19.6,0.455098,-0.410677
0.05,19.65,0.433481,-0.432351
0.05,19.7,0.410836,-0.452893
0.05,19.75,0.387223,-0.472254
0.05,19.8,0.362704,-0.490389
0.05,19.85,0.337341,-0.507257
0.05,19.9,0.3112,-0.522817
0.05,19.95,0.284349,-0.537034
0.05,20,0.256855,-0.549877
0.05,20.05,0.228789,-0.561316
0.05,20.1,0.200223,-0.571327
0.05,20.15,0.171228,-0.579889
0.05,20.2,0.141879,-0.586983
0.05,20.25,0.112249,-0.592595
0.05,20.3,0.0824135,-0.596716
0.05,20.35,0.0524466,-0.599338
0.05,20.4,0.0224236,-0.600459
0.05,20.45,-0.00758038,-0.60008
0.05,20.5,-0.0374907,-0.598206
0.05,20.55,-0.0672329,-0.594844
0.05,20.6,-0.0967332,-0.590007
0.05,20.65,-0.125919,-0.583712
0.05,20.7,-0.154718,-0.575976
0.05,20.75,-0.183059,-0.566823
0.05,20.8,-0.210873,-0.556279
0.05,20.85,-0.238091,-0.544375
0.05,20.9,-0.264649,-0.531142
0.05,20.95,-0.290479,-0.516618
0.05,21,-0.315522,-0.500842
0.05,21.05,-0.339714,-0.483856
0.05,21.1,-0.363,-0.465706
0.05,21.15,-0.385322,-0.44644
0.05,21.2,-0.406627,-0.426109
0.05,21.25,-0.426865,-0.404766
0.05,21.3,-0.445989,-0.382466
0.05,21.35,-0.463952,-0.359269
0.05,21.4,-0.480714,-0.335233
0.05,21.45,-0.496235,-0.310421
0.05,21.5,-0.51048,-0.284897
