tau,t,y,v
0.05,10.6,-0.387374,0.921923
0.05,10.65,-0.340823,0.940127
0.05,10.7,-0.29342,0.955984
0.05,10.75,-0.245284,0.969451
0.05,10.8,-0.196536,0.980497
0.05,10.85,-0.147296,0.989092
0.05,10.9,-0.0976882,0.995217
0.05,10.95,-0.0478364,0.998855
0.05,11,0.0021349,0.999998
0.05,11.05,0.0521009,0.998642
0.05,11.1,0.101937,0.994791
0.05,11.15,0.151518,0.988455
0.05,11.2,0.20072,0.979649
0.05,11.25,0.249422,0.968395
0.05,11.3,0.297499,0.954722
0.05,11.35,0.344834,0.938664
0.05,11.4,0.391307,0.92026
0.05,11.45,0.436803,0.899557
0.05,11.5,0.481207,0.876607
0.05,11.55,0.524409,0.851467
0.05,11.6,0.5663,0.824199
0.05,11.65,0.606777,0.794872
0.05,11.7,0.645738,0.763559
0.05,11.75,0.683085,0.730339
0.05,11.8,0.718726,0.695293
0.05,11.85,0.752571,0.658511
0.05,11.9,0.784536,0.620083
0.05,11.95,0.814541,0.580106
0.05,12,0.84251,0.53868
0.05,12.05,0.868375,0.495908
0.05,12.1,0.89207,0.451897
0.05,12.15,0.913537,0.406757
0.05,12.2,0.93272,0.3606
0.05,12.25,0.949574,0.313543
0.05,12.3,0.964055,0.265702
0.05,12.35,0.976128,0.217198
0.05,12.4,0.985761,0.16815
0.05,12.45,0.992932,0.118683
0.05,12.5,0.997622,0.0689191
0.05,12.55,0.99982,0.0189831
0.05,12.6,0.999519,-0.0310004
0.05,12.65,0.996722,-0.0809064
0.05,12.7,0.991434,-0.13061
0.05,12.75,0.983669,-0.179988
0.05,12.8,0.973446,-0.228916
0.05,12.85,0.960792,-0.277272
0.05,12.9,0.945736,-0.324935
0.05,12.95,0.928318,-0.371786
0.05,13,0.908581,-0.417709
0.05,13.05,0.886574,-0.462588
0.05,13.1,0.862351,-0.506311
0.05,13.15,0.835974,-0.548769
0.05,13.2,0.807509,-0.589856
0.05,13.25,0.777025,-0.629469
0.05,13.3,0.744601,-0.66751
0.05,13.35,0.710316,-0.703883
0.05,13.4,0.674257,-0.738497
0.05,13.45,0.636512,-0.771266
0.05,13.5,0.597178,-0.802109
0.05,13.55,0.556352,-0.830947
0.05,13.6,0.514135,-0.857709
0.05,13.65,0.470634,-0.882328
0.05,13.7,0.425958,-0.904743
0.05,13.75,0.380217,-0.924897
0.05,13.8,0.333526,-0.942741
0.05,13.85,0.286001,-0.958229
0.05,13.9,0.237763,-0.971323
0.05,13.95,0.18893,-0.981991
0.05,14,0.139625,-0.990204
0.05,14.05,0.0899711,-0.995944
0.05,14.1,0.0400926,-0.999196
0.05,14.15,-0.00988609,-0.999951
0.05,14.2,-0.0598401,-0.998208
0.05,14.25,-0.109645,-0.993971
0.05,14.3,-0.159175,-0.98725
0.05,14.35,-0.208308,-0.978063
0.05,14.4,-0.25692,-0.966433
0.05,14.45,-0.304891,-0.952387
0.05,14.5,-0.3521,-0.935963
0.05,14.55,-0.398429,-0.917199
0.05,14.6,-0.443762,-0.896145
0.05,14.65,-0.487987,-0.872851
0.05,14.7,-0.530993,-0.847376
0.05,14.75,-0.572672,-0.819785
0.05,14.8,-0.61292,-0.790145
0.05,14.85,-0.651637,-0.758531
0.05,14.9,-0.688726,-0.725022
0.05,14.95,-0.724094,-0.689701
0.05,15,-0.757653,-0.652658
0.05,15.05,-0.789319,-0.613984
0.05,15.1,-0.819013,-0.573775
0.05,15.15,-0.846661,-0.532133
0.05,15.2,-0.872193,-0.489162
0.05,15.25,-0.895546,-0.444969
0.05,15.3,-0.916662,-0.399663
0.05,15.35,-0.935488,-0.35336
0.05,15.4,-0.951976,-0.306173
0.05,15.45,-0.966086,-0.258221
0.05,15.5,-0.977782,-0.209625
0.05,15.55,-0.987035,-0.160504
0.05,15.6,-0.993822,-0.110983
0.05,15.65,-0.998126,-0.0611842
0.05,15.7,-0.999937,-0.0112326
0.05,15.75,-0.999249,0.038747
0.05,15.8,-0.996065,0.0886299
0.05,15.85,-0.990392,0.138291
0.05,15.9,-0.982244,0.187607
0.05,15.95,-0.971643,0.236454
0.05,16,-0.958613,0.284711
0.05,16.05,-0.943189,0.332256
0.05,16.1,-0.925409,0.378971
0.05,16.15,-0.905316,0.424739
0.05,16.2,-0.882961,0.469446
0.05,16.25,-0.858401,0.51298
0.05,16.3,-0.831695,0.555232
0.05,16.35,-0.802912,0.596097
0.05,16.4,-0.772123,0.635473
0.05,16.45,-0.739404,0.673261
0.05,16.5,-0.704839,0.709368
0.05,16.55,-0.668512,0.743701
0.05,16.6,-0.630515,0.776177
0.05,16.65,-0.590943,0.806713
0.05,16.7,-0.549894,0.835234
0.05,16.75,-0.507472,0.861669
0.05,16.8,-0.463781,0.88595
0.05,16.85,-0.418932,0.908018
0.05,16.9,-0.373036,0.927817
0.05,16.95,-0.326208,0.945298
0.05,17,-0.278565,0.960417
0.05,17.05,-0.230226,0.973137
0.05,17.1,-0.181312,0.983426
0.05,17.15,-0.131945,0.991257
0.05,17.2,-0.0822486,0.996612
0.05,17.25,-0.0323464,0.999477
0.05,17.3,0.0176367,0.999844
0.05,17.35,0.0675756,0.997714
0.05,17.4,0.117346,0.993091
0.05,17.45,0.166823,0.985987
0.05,17.5,0.215883,0.976419
0.05,17.55,0.264404,0.964412
0.05,17.6,0.312264,0.949995
0.05,17.65,0.359344,0.933205
0.05,17.7,0.405526,0.914083
0.05,17.75,0.450695,0.892678
0.05,17.8,0.494738,0.869042
0.05,17.85,0.537545,0.843235
0.05,17.9,0.579009,0.815321
0.05,17.95,0.619026,0.78537
0.05,18,0.657497,0.753457
0.05,18.05,0.694325,0.719662
0.05,18.1,0.729418,0.684068
0.05,18.15,0.762689,0.646765
0.05,18.2,0.794054,0.607847
0.05,18.25,0.823436,0.56741
0.05,18.3,0.85076,0.525555
0.05,18.35,0.875958,0.482387
0.05,18.4,0.898968,0.438014
0.05,18.45,0.919732,0.392546
0.05,18.5,0.938198,0.346098
0.05,18.55,0.954321,0.298785
0.05,18.6,0.968058,0.250725
0.05,18.65,0.979377,0.202039
0.05,18.7,0.98825,0.152849
0.05,18.75,0.994653,0.103276
0.05,18.8,0.998571,0.0534456
0.05,18.85,0.999994,0.00348153
0.05,18.9,0.998919,-0.0464913
0.05,18.95,0.995348,-0.096348
0.05,19,0.98929,-0.145964
0.05,19.05,0.98076,-0.195215
0.05,19.1,0.969781,-0.243979
0.05,19.15,0.956378,-0.292133
0.05,19.2,0.940586,-0.339557
0.05,19.25,0.922443,-0.386132
0.05,19.3,0.901996,-0.431743
0.05,19.35,0.879296,-0.476276
0.05,19.4,0.854399,-0.519618
0.05,19.45,0.827367,-0.561662
0.05,19.5,0.798267,-0.602303
0.05,19.55,0.767174,-0.641439
0.05,19.6,0.734164,-0.678973
0.05,19.65,0.699319,-0.71481
0.05,19.7,0.662727,-0.748861
0.05,19.75,0.62448,-0.781041
0.05,19.8,0.584672,-0.81127
0.05,19.85,0.543403,-0.839472
0.05,19.9,0.500777,-0.865576
0.05,19.95,0.4569,-0.889518
0.05,20,0.411881,-0.911238
0.05,20.05,0.365833,-0.93068
0.05,20.1,0.318871,-0.947798
0.05,20.15,0.271112,-0.962548
0.05,20.2,0.222676,-0.974892
0.05,20.25,0.173684,-0.984801
0.05,20.3,0.124258,-0.99225
0.05,20.35,0.0745211,-0.997219
0.05,20.4,0.0245982,-0.999697
0.05,20.45,-0.0253862,-0.999678
0.05,20.5,-0.0753072,-0.99716
0.05,20.55,-0.12504,-0.992152
0.05,20.6,-0.17446,-0.984664
0.05,20.65,-0.223445,-0.974717
0.05,20.7,-0.271871,-0.962334
0.05,20.75,-0.319618,-0.947546
0.05,20.8,-0.366567,-0.930392
0.05,20.85,-0.412599,-0.910913
